,song,artist,date,explicit,uri_cancion,popularity,ironhacker,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
606,She's Gone,STEELHEART,2020-07-31,False,spotify:track:6jDTQvwOkgUhS2PMbVPgEr,13,miguel.1962.mas,https://open.spotify.com/track/6jDTQvwOkgUhS2PMbVPgEr,0ecbvwhuhiEAWOLHlRXpqD,0.416,0.559,0,-10.751,0,0.0349,0.00346,0.0831,0.148,0.152,137.18,audio_features,6jDTQvwOkgUhS2PMbVPgEr,spotify:track:6jDTQvwOkgUhS2PMbVPgEr,https://api.spotify.com/v1/tracks/6jDTQvwOkgUhS2PMbVPgEr,https://api.spotify.com/v1/audio-analysis/6jDTQvwOkgUhS2PMbVPgEr,392400,4
607,Silent Lucidity - Remastered 2003,Queensrÿche,1990,False,spotify:track:6OSyCAmXT4Gkd3OQ2aPOaF,63,miguel.1962.mas,https://open.spotify.com/track/6OSyCAmXT4Gkd3OQ2aPOaF,2OgUPVlWYgGBGMefZgGvCO,0.462,0.628,7,-5.659,1,0.0274,0.0534,0.00025,0.12,0.0981,140.049,audio_features,6OSyCAmXT4Gkd3OQ2aPOaF,spotify:track:6OSyCAmXT4Gkd3OQ2aPOaF,https://api.spotify.com/v1/tracks/6OSyCAmXT4Gkd3OQ2aPOaF,https://api.spotify.com/v1/audio-analysis/6OSyCAmXT4Gkd3OQ2aPOaF,347760,4
608,When a Man Loves a Woman,Percy Sledge,1966,False,spotify:track:51FpzuGkRYXFgsE2zXt9av,70,miguel.1962.mas,https://open.spotify.com/track/51FpzuGkRYXFgsE2zXt9av,3rRmDmzPcAFwcUDvG5gBqO,0.516,0.15,1,-20.41,1,0.0272,0.13,0.0755,0.122,0.205,97.398,audio_features,51FpzuGkRYXFgsE2zXt9av,spotify:track:51FpzuGkRYXFgsE2zXt9av,https://api.spotify.com/v1/tracks/51FpzuGkRYXFgsE2zXt9av,https://api.spotify.com/v1/audio-analysis/51FpzuGkRYXFgsE2zXt9av,173867,3
609,Tell It To My Heart,MEDUZA,2021-10-29,False,spotify:track:46nvQpUDsxpS08UTFOeKTA,76,miguel.1962.mas,https://open.spotify.com/track/46nvQpUDsxpS08UTFOeKTA,0xRXCcSX89eobfrshSVdyu,0.539,0.715,11,-6.639,0,0.0595,0.0265,0.0,0.609,0.489,123.854,audio_features,46nvQpUDsxpS08UTFOeKTA,spotify:track:46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/tracks/46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/audio-analysis/46nvQpUDsxpS08UTFOeKTA,165524,4
609,Tell It To My Heart,MEDUZA,2021-10-29,False,spotify:track:46nvQpUDsxpS08UTFOeKTA,76,miguel.1962.mas,https://open.spotify.com/track/46nvQpUDsxpS08UTFOeKTA,2FXC3k01G6Gw61bmprjgqS,0.539,0.715,11,-6.639,0,0.0595,0.0265,0.0,0.609,0.489,123.854,audio_features,46nvQpUDsxpS08UTFOeKTA,spotify:track:46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/tracks/46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/audio-analysis/46nvQpUDsxpS08UTFOeKTA,165524,4
609,Tell It To My Heart,Hozier,2021-10-29,False,spotify:track:46nvQpUDsxpS08UTFOeKTA,76,miguel.1962.mas,https://open.spotify.com/track/46nvQpUDsxpS08UTFOeKTA,0xRXCcSX89eobfrshSVdyu,0.539,0.715,11,-6.639,0,0.0595,0.0265,0.0,0.609,0.489,123.854,audio_features,46nvQpUDsxpS08UTFOeKTA,spotify:track:46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/tracks/46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/audio-analysis/46nvQpUDsxpS08UTFOeKTA,165524,4
609,Tell It To My Heart,Hozier,2021-10-29,False,spotify:track:46nvQpUDsxpS08UTFOeKTA,76,miguel.1962.mas,https://open.spotify.com/track/46nvQpUDsxpS08UTFOeKTA,2FXC3k01G6Gw61bmprjgqS,0.539,0.715,11,-6.639,0,0.0595,0.0265,0.0,0.609,0.489,123.854,audio_features,46nvQpUDsxpS08UTFOeKTA,spotify:track:46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/tracks/46nvQpUDsxpS08UTFOeKTA,https://api.spotify.com/v1/audio-analysis/46nvQpUDsxpS08UTFOeKTA,165524,4
610,One Night in Dubai,Arash,2019-03-29,False,spotify:track:0AmwmAEOgm11kXiaL9jHOZ,2,miguel.1962.mas,https://open.spotify.com/track/0AmwmAEOgm11kXiaL9jHOZ,7hQmAXAzWI6D350VTgkKTG,0.685,0.796,3,-3.14,0,0.0375,0.0239,1.91e-06,0.083,0.562,96.974,audio_features,0AmwmAEOgm11kXiaL9jHOZ,spotify:track:0AmwmAEOgm11kXiaL9jHOZ,https://api.spotify.com/v1/tracks/0AmwmAEOgm11kXiaL9jHOZ,https://api.spotify.com/v1/audio-analysis/0AmwmAEOgm11kXiaL9jHOZ,160052,4
610,One Night in Dubai,Arash,2019-03-29,False,spotify:track:0AmwmAEOgm11kXiaL9jHOZ,2,miguel.1962.mas,https://open.spotify.com/track/0AmwmAEOgm11kXiaL9jHOZ,1AF5cgNny2BBAf4RGQOa03,0.685,0.796,3,-3.14,0,0.0375,0.0239,1.91e-06,0.083,0.562,96.974,audio_features,0AmwmAEOgm11kXiaL9jHOZ,spotify:track:0AmwmAEOgm11kXiaL9jHOZ,https://api.spotify.com/v1/tracks/0AmwmAEOgm11kXiaL9jHOZ,https://api.spotify.com/v1/audio-analysis/0AmwmAEOgm11kXiaL9jHOZ,160052,4
610,One Night in Dubai,Helena,2019-03-29,False,spotify:track:0AmwmAEOgm11kXiaL9jHOZ,2,miguel.1962.mas,https://open.spotify.com/track/0AmwmAEOgm11kXiaL9jHOZ,7hQmAXAzWI6D350VTgkKTG,0.685,0.796,3,-3.14,0,0.0375,0.0239,1.91e-06,0.083,0.562,96.974,audio_features,0AmwmAEOgm11kXiaL9jHOZ,spotify:track:0AmwmAEOgm11kXiaL9jHOZ,https://api.spotify.com/v1/tracks/0AmwmAEOgm11kXiaL9jHOZ,https://api.spotify.com/v1/audio-analysis/0AmwmAEOgm11kXiaL9jHOZ,160052,4
610,One Night in Dubai,Helena,2019-03-29,False,spotify:track:0AmwmAEOgm11kXiaL9jHOZ,2,miguel.1962.mas,https://open.spotify.com/track/0AmwmAEOgm11kXiaL9jHOZ,1AF5cgNny2BBAf4RGQOa03,0.685,0.796,3,-3.14,0,0.0375,0.0239,1.91e-06,0.083,0.562,96.974,audio_features,0AmwmAEOgm11kXiaL9jHOZ,spotify:track:0AmwmAEOgm11kXiaL9jHOZ,https://api.spotify.com/v1/tracks/0AmwmAEOgm11kXiaL9jHOZ,https://api.spotify.com/v1/audio-analysis/0AmwmAEOgm11kXiaL9jHOZ,160052,4
