,artist_name,album_name,release_date,total_tracks
11,Gala,Freed From Desire,2016-11-25,1
12,Gala,Freed From Desire (Acoustic Version),2016-11-25,1
13,Gala,Galamegamix,2015-06-26,7
14,Gala,The Beautiful,2014-11-24,7
15,Gala,Taste Of Me (Deluxe),2014-01-27,9
16,Gala,Taste Of Me,2013-11-25,5
17,Gala,Lose Yourself In Me (Deluxe),2013-01-07,9
18,Gala,Lose Yourself In Me,2012-06-23,7
19,Gala,Freed From Desire 2011 (15Th Anniversary),2011-09-01,1
0,Robert Miles,Remember Robert Miles,2017-05-19,16
1,Robert Miles,Miles Gurtu,2005-03-07,13
2,Robert Miles,Organik Remixes,2003-09-02,14
3,Robert Miles,Organik (Remixes),2002,14
4,Robert Miles,Organik,2001-01-01,12
6,Robert Miles,23Am,1997-05-31,11
7,Robert Miles,23 Am,1997-05-31,11
8,Robert Miles,Dreamland,1996-07-06,12
12,MATVEE,Red Zone,2023-03-10,1
13,Switch Disco,React,2023-01-13,1
14,Deborah de Luca,One And One (Feat. Maria Nayler),2022-12-02,1
15,Deborah de Luca,Children,2022-09-16,2
16,Robert Miles,One And One Sax Mix Masha Kutskova,2022-09-01,1
17,Robert Miles,One And One (Motvs Remix),2022-08-05,2
18,Robert Miles,Children (Remastered Version),2022-07-30,1
0,2 Eivissa,Are You Ready,2006-07-18,17
1,2 Eivissa,Los Codigos,2022-05-21,1
2,2 Eivissa,Kalenbo,2022-05-19,1
3,2 Eivissa,El Coba,2022-05-07,1
4,2 Eivissa,3730,2022-04-08,1
5,2 Eivissa,990,2022-04-08,1
6,2 Eivissa,Alta Lama,2022-04-08,1
7,2 Eivissa,Conponente,2022-04-08,1
8,2 Eivissa,Ñango,2022-04-07,1
9,2 Eivissa,Allez Allez! Je Veux Que Vous Dansez,2016-06-10,7
11,2 Eivissa,I Wanna Be Your Toy,2014-12-13,1
12,2 Eivissa,Oh La La La,2014-12-12,1
13,2 Eivissa,Amigo,2011-06-14,6
14,Lian Ross,4You,2023-03-24,23
15,Various Artists,Worlds Greatest 90'S Dance,2020-12-25,25
16,Various Artists,Worlds Greatest 90S Dance,2020-12-10,22
17,Various Artists,Dance Power - I Love 90'S,2019-08-02,37
18,Various Artists,"Orbital Mix, Vol. 6",2019-06-11,26
19,Dance Mania 98,Dance Mania 98,2019-02-18,26
0,Eiffel 65,Eiffel 65 (The English Album),2005-03-15,10
1,Eiffel 65,Eiffel 65 (Italian Album),2005-02-24,17
2,Eiffel 65,Contact!,2001-03-21,17
4,Eiffel 65,Europop,1999,19
5,Boomdabash,Heaven,2022-12-08,1
6,Eiffel 65,Blue (Generixphonic Remix),2022-07-09,1
7,Eiffel 65,Blue Kny Factory Remix,2022-02-14,1
8,Alien Cut,G Nel Body (Extended Mix),2021-10-25,1
9,Joywave,Every Window Is A Mirror (Eiffel 65 Remix),2021-08-27,1
10,Eiffel 65,Blue (Zaidbreak Remix),2021-08-13,1
11,Alien Cut,G Nel Body,2021-02-19,1
12,Eiffel 65,Too Much Of Heaven Luis Rodriguez Remix,2021-01-29,1
13,Eiffel 65,Blue (Da Ba Dee) X Adt Rmx,2020-08-25,1
14,Eiffel 65,Blue (Flume Remix),2020-07-03,1
15,Shiva,Auto Blu,2020-03-26,4
16,Eiffel 65,Blue (Da Ba Dee) Luis Rodriguez Remix,2018-04-04,1
17,Eiffel 65,Blue (Da Ba Dee) Bottai Remix,2017-12-15,2
18,Eiffel 65,Critical (Radio Cut),2016-05-26,1
19,Eiffel 65,Panico (Radio Cut),2016-05-26,1
0,Various Artists,Lo + Remember (Mixed By Raúl Platero & Head Horny'S),2019-03-15,7
1,Raul Platero,Lo + Remember (Mixed By Raúl Platero E Ismael Lora),2016-12-15,1
