,artist_name,album_name,release_date,total_tracks
3,Compay Segundo,Coleccion,2003,118
4,Compay Segundo,Cien Años De Son,1999,15
5,Compay Segundo,Antologia,1996-05-31,34
6,Compay Segundo,Yo Vengo Aqui,1996,15
7,Compay Segundo,Anita,2022-05-19,1
8,Compay Segundo,Como La Avellaneda,2022-05-19,1
9,Compay Segundo,Idilio,2022-05-19,1
10,Compay Segundo,Mi Linda Guajira,2022-05-19,1
11,Compay Segundo,Pasaje Para Holguín,2022-05-19,1
12,Compay Segundo,Ahora Me Da Pena,2022-05-16,1
13,Compay Segundo,Chicharrones,2022-05-16,1
14,Compay Segundo,Macusa,2022-05-16,1
15,Compay Segundo,Saludo Compay,2022-05-15,1
16,Various Artists,Latin Weekend Chill,2021-06-11,25
17,Various Artists,Cuban Moods,2021-02-12,24
18,Various Artists,Latin Románticas,2021-01-29,25
19,Various Artists,Latin Idols,2020-11-06,23
0,The Manhattans,The Manhattans Live In Concert,2021-07-30,14
1,The Manhattans,The Legacy Continues,2021-01-29,10
2,The Manhattans,Doing Their Best Things,2020-06-15,10
3,The Manhattans,With These Hands / A Million To One,2020-01-30,29
4,The Manhattans,There'S No Me Without You (Bonus Version),2015-07-17,12
5,The Manhattans,Manhattans Live In Concert,2009-12-22,23
6,The Manhattans,Men Cry Too,2008-04-21,15
7,The Manhattans,Live In Concert,2004,23
8,The Manhattans,Even Now,2003-08-26,11
9,The Manhattans,Too Hot To Stop It (Expanded Version),1985,10
10,The Manhattans,Forever By Your Side (Expanded Version),1983,13
11,The Manhattans,Black Tie (Expanded Version),1981,16
12,The Manhattans,After Midnight (Expanded Version),1980,17
13,The Manhattans,Love Talk,1979-05-17,10
15,The Manhattans,There'S No Good In Goodbye (Expanded Version),1978,17
16,The Manhattans,It Feels So Good (Expanded Version),1977,15
17,The Manhattans,The Manhattans,1976,13
18,The Manhattans,The Manhattans (Expanded Version),1976,13
19,The Manhattans,That'S How Much I Love You (Expanded Edition),1974-09-01,12
0,Lou Rawls,"Love, Love, Love",2023-01-06,16
1,Lou Rawls,Sweet Lover,2023-01-06,11
2,Lou Rawls,Trust Me,2023-01-06,15
3,Lou Rawls,Burn Bright - No Regrets,2022-12-19,18
4,Lou Rawls,See See Rider,2022-12-02,20
5,Lou Rawls,Hit After Hit,2022-11-19,16
6,Lou Rawls,My Heart Belongs To You,2022-08-26,19
7,Lou Rawls,Sweet Chariot,2022-08-26,11
8,Lou Rawls,Black And Blue,2020-01-06,12
9,Lou Rawls,Tobacco Road,2020-01-06,10
10,Lou Rawls,On Stage,2019-10-04,11
11,Lou Rawls,"Milestones Of New Jazz Masters: Yeah!, Vol. 2",2019-05-03,15
13,Lou Rawls,Rhymes And Reasons,2017-11-10,21
14,Lou Rawls,Stormy Monday,2016-09-04,25
16,Lou Rawls,The Soul Of Lou Rawls (Live At The Newport Jazz Festival 1981),2016-02-12,14
17,Lou Rawls,Sings Again,2016-01-29,25
18,Lou Rawls,The Anthology,2015-03-27,12
19,Lou Rawls,Best Of (Remastered Original Recordings),2015-02-11,11
0,MFSB,The Essential Mfsb,2018-11-02,32
1,MFSB,Deep Grooves,1999-04-06,12
2,MFSB,Mysteries Of The World,1980-12-01,8
3,MFSB,"Mfsb, The Gamble-Huff Orchestra",1978-07-14,8
4,MFSB,Summertime,1976-06-01,8
5,MFSB,Philadelphia Freedom,1975-11-01,11
6,MFSB,Universal Love (Expanded Edition),1975-05-01,12
7,MFSB,Love Is The Message,1973-12-01,8
8,MFSB,Mfsb,1973,7
9,MFSB,T.S.O.P. (The Sound Of Philadelphia) (Tracy Young Remixes) (Feat. The Three Degrees),2021-03-19,3
10,MFSB,The Best Of Mfsb: Love Is The Message,1995-10-31,16
11,MFSB,End Of Phase I - A Collection Of Greatest Hits,1977-11-13,10
