,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,California Dreamin' - Single Version,The Mamas & The Papas,1966-03,False,spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,80,314uptk25ulh3fe6onshuznbvjoi,https://open.spotify.com/track/4s6LhHAV5SEsOV0lC2tjvJ,1bs7HoMkSyQwcobCpE9KpN,0.552,0.608,1,-9.786,0,0.0345,0.352,0.0,0.0533,0.637,112.367,audio_features,4s6LhHAV5SEsOV0lC2tjvJ,spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,https://api.spotify.com/v1/tracks/4s6LhHAV5SEsOV0lC2tjvJ,https://api.spotify.com/v1/audio-analysis/4s6LhHAV5SEsOV0lC2tjvJ,162373,4
1,San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,Scott McKenzie,1967-07-16,False,spotify:track:6vcNJUWtUPB0hKC6VbZriY,66,314uptk25ulh3fe6onshuznbvjoi,https://open.spotify.com/track/6vcNJUWtUPB0hKC6VbZriY,7d7AZ3CQC457bFhK0wHpSO,0.525,0.52,7,-11.725,1,0.0271,0.538,0.00569,0.111,0.523,112.554,audio_features,6vcNJUWtUPB0hKC6VbZriY,spotify:track:6vcNJUWtUPB0hKC6VbZriY,https://api.spotify.com/v1/tracks/6vcNJUWtUPB0hKC6VbZriY,https://api.spotify.com/v1/audio-analysis/6vcNJUWtUPB0hKC6VbZriY,178507,4
2,"Oh, Pretty Woman",Roy Orbison,1962,False,spotify:track:48i055G1OT5KxGGftwFxWy,75,314uptk25ulh3fe6onshuznbvjoi,https://open.spotify.com/track/48i055G1OT5KxGGftwFxWy,0JDkhL4rjiPNEp92jAgJnS,0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433,audio_features,48i055G1OT5KxGGftwFxWy,spotify:track:48i055G1OT5KxGGftwFxWy,https://api.spotify.com/v1/tracks/48i055G1OT5KxGGftwFxWy,https://api.spotify.com/v1/audio-analysis/48i055G1OT5KxGGftwFxWy,178933,4
3,Unchained Melody,The Righteous Brothers,1965-04-04,False,spotify:track:2qhASBzpbFhPRtrnZ5lLnz,76,314uptk25ulh3fe6onshuznbvjoi,https://open.spotify.com/track/2qhASBzpbFhPRtrnZ5lLnz,4b0WsB47XCa9F83BmwQ7WX,0.339,0.208,0,-16.725,1,0.0308,0.396,0.000519,0.18,0.288,98.54,audio_features,2qhASBzpbFhPRtrnZ5lLnz,spotify:track:2qhASBzpbFhPRtrnZ5lLnz,https://api.spotify.com/v1/tracks/2qhASBzpbFhPRtrnZ5lLnz,https://api.spotify.com/v1/audio-analysis/2qhASBzpbFhPRtrnZ5lLnz,218013,3
4,I Get Around (Mono),The Beach Boys,1964-07-13,False,spotify:track:3v9xlH6BpmRbqL7hgNJhfT,68,314uptk25ulh3fe6onshuznbvjoi,https://open.spotify.com/track/3v9xlH6BpmRbqL7hgNJhfT,3oDbviiivRWhXwIE8hxkVV,0.39,0.625,9,-7.813,0,0.0537,0.36,0.0,0.0663,0.514,144.338,audio_features,3v9xlH6BpmRbqL7hgNJhfT,spotify:track:3v9xlH6BpmRbqL7hgNJhfT,https://api.spotify.com/v1/tracks/3v9xlH6BpmRbqL7hgNJhfT,https://api.spotify.com/v1/audio-analysis/3v9xlH6BpmRbqL7hgNJhfT,134387,4
5,"Paint It, Black",The Rolling Stones,1966-04-15,False,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,83,314uptk25ulh3fe6onshuznbvjoi,https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8,22bE4uQ6baNwSHPVcDxLCe,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,audio_features,63T7DJ1AFDD6Bn8VzG6JE8,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/audio-analysis/63T7DJ1AFDD6Bn8VzG6JE8,202267,4
6,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965-07-30,False,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,78,314uptk25ulh3fe6onshuznbvjoi,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34,22bE4uQ6baNwSHPVcDxLCe,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,audio_features,2PzU4IB8Dr6mxV3lHuaG34,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34,222813,4
7,Hound Dog,Elvis Presley,1958-03-21,False,spotify:track:64Ny7djQ6rNJspquof2KoX,65,314uptk25ulh3fe6onshuznbvjoi,https://open.spotify.com/track/64Ny7djQ6rNJspquof2KoX,43ZHCT0cAZBISjO8DG9PnE,0.494,0.756,0,-8.492,1,0.0499,0.733,0.00505,0.76,0.949,86.895,audio_features,64Ny7djQ6rNJspquof2KoX,spotify:track:64Ny7djQ6rNJspquof2KoX,https://api.spotify.com/v1/tracks/64Ny7djQ6rNJspquof2KoX,https://api.spotify.com/v1/audio-analysis/64Ny7djQ6rNJspquof2KoX,136027,4
8,Summertime Blues,Eddie Cochran,1960-05-01,False,spotify:track:3oAWTk92mZBxKBOKf8mR5v,64,314uptk25ulh3fe6onshuznbvjoi,https://open.spotify.com/track/3oAWTk92mZBxKBOKf8mR5v,1p0t3JtUTayV2wb1RGN9mO,0.714,0.886,11,-8.629,0,0.0554,0.116,0.184,0.18,0.954,156.351,audio_features,3oAWTk92mZBxKBOKf8mR5v,spotify:track:3oAWTk92mZBxKBOKf8mR5v,https://api.spotify.com/v1/tracks/3oAWTk92mZBxKBOKf8mR5v,https://api.spotify.com/v1/audio-analysis/3oAWTk92mZBxKBOKf8mR5v,119360,4
9,That'll Be The Day,Buddy Holly,1958-06-01,False,spotify:track:50RwvvEKX5Q7AZt8FTAwIF,62,314uptk25ulh3fe6onshuznbvjoi,https://open.spotify.com/track/50RwvvEKX5Q7AZt8FTAwIF,3wYyutjgII8LJVVOLrGI0D,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,0.798,115.24,audio_features,50RwvvEKX5Q7AZt8FTAwIF,spotify:track:50RwvvEKX5Q7AZt8FTAwIF,https://api.spotify.com/v1/tracks/50RwvvEKX5Q7AZt8FTAwIF,https://api.spotify.com/v1/audio-analysis/50RwvvEKX5Q7AZt8FTAwIF,150133,4
