,artist_name,album_name,release_date,total_tracks
10,Rick Astley,3 Originals,2002-12-07,31
11,Rick Astley,Body & Soul,1993-09-09,10
13,Rick Astley,Free,1991-02-25,11
15,Rick Astley,Hold Me In Your Arms,1988-11-26,10
17,Rick Astley,Whenever You Need Somebody,1987-11-12,10
19,Rick Astley,Giving Up On Love Ep,2023-04-28,4
0,Boy George,Life,2019-05-01,12
3,Culture Club,Live At Wembley - World Tour 2016,2017-12-08,15
4,Culture Club,20 Year Anniversary Live At The Royal Albert Hall,2003-01-01,17
5,Culture Club,20 Year Anniversary (Live At The Royal Albert Hall 2002),2003,17
6,Culture Club,Don'T Mind If I Do,1999-12-14,15
7,Culture Club,From Luxury To Heartache,1986-04-01,13
8,Culture Club,Waking Up With The House On Fire,1984-11-01,14
10,Culture Club,Colour By Numbers,1983-10-01,15
12,Culture Club,Kissing To Be Clever,1982-09-01,9
13,Culture Club,Bbc In Concert,1982,10
14,Smudge All Stars,Brutal Funk - Xtended Mix,2023-04-21,1
15,Smudge All Stars,B Side Ft. Fred Wesley - Xtended Mix,2023-03-24,1
16,Dark Globe,Atoms (Dark Globe Radio Edit),2023-02-17,1
17,Culture Club,Time (2022) [Kinky Roland Remix],2022-08-12,1
18,Smudge All Stars,Brutal Funk - Dark Globe West 16Th & 7Th Avenue Mix,2022-07-22,1
19,Smudge All Stars,Freaky Toe - Spacemonkeyz Mix Ft. Audio Satellite (Remix),2022-06-24,1
0,Shania Twain,Queen Of Me (Royal Edition),2023-04-28,17
2,Shania Twain,Queen Of Me,2023-02-03,12
4,Shania Twain,Not Just A Girl (The Highlights),2022-07-26,18
5,Shania Twain,The Woman In Me (Super Deluxe Diamond Edition),2020-10-02,38
6,Shania Twain,Now (Deluxe),2017-09-29,16
7,Shania Twain,Still The One: Live From Vegas,2015-03-02,19
8,Shania Twain,Up!,2002-01-01,19
9,Shania Twain,Up! (Green Version),2002-01-01,19
10,Shania Twain,Up! (Red And Blue Versions),2002-01-01,38
11,Shania Twain,Up! (Red And Green Versions),2002-01-01,38
12,Shania Twain,Come On Over (International Version),1999-11-09,16
13,Shania Twain,Come On Over,1997-11-04,16
14,Shania Twain,Come On Over (Internationl Version / Special Edition),1997-11-04,19
15,Shania Twain,Come On Over (Special Edition),1997-11-04,19
16,Shania Twain,The Woman In Me,1995-01-01,12
17,Shania Twain,Shania Twain,1993-01-01,10
18,Shania Twain,Giddy Up! (Malibu Babie Remix),2023-03-24,1
19,Shania Twain,Spotify Singles,2023-03-15,3
0,Eurythmics,Peace,1999-10-19,11
4,Eurythmics,Peace (2018 Remastered),1999-10-19,11
5,Eurythmics,We Too Are One,1989-09-11,15
10,Eurythmics,We Too Are One (Remastered),1989-09-11,10
11,Eurythmics,Savage,1987-11-09,12
15,Eurythmics,Savage (2018 Remastered),1987-11-09,12
16,Eurythmics,Revenge,1986-06-30,16
19,Eurythmics,Revenge (2018 Remastered),1986-06-30,10
0,Annie Lennox,A Christmas Cornucopia (10Th Anniversary),2020-11-20,13
1,Annie Lennox,Lepidoptera,2019-05-24,4
2,Annie Lennox,Nostalgia,2014-10-21,12
3,Annie Lennox,A Christmas Cornucopia,2010-01-01,12
4,Annie Lennox,Songs Of Mass Destruction,2007-11-03,11
6,Annie Lennox,Bare,2003-06-02,11
7,Annie Lennox,Dance Vault Mixes - Pavement Cracks,2003-04-23,7
8,Eurythmics,Peace,1999-10-19,11
12,Eurythmics,Peace (2018 Remastered),1999-10-19,11
13,Annie Lennox,Medusa,1995,10
14,Annie Lennox,Diva,1992-04-02,11
15,Eurythmics,We Too Are One,1989-09-11,15
19,Eurythmics,We Too Are One (Remastered),1989-09-11,10
0,Dave Stewart,Ebony Mcqueen,2022-05-20,26
1,Dave Stewart,Amitié,2020-07-17,9
2,Dave Stewart,"Nashville Sessions - The Duets, Vol. 1",2017-08-25,11
3,Dave Stewart,Live At Rockpalast (Live Cologne 1990),2016-09-30,14
4,Dave Stewart,Spitballin',2016-06-24,12
5,Dave Stewart,Lucky Numbers (Bonus Track Version),2013-09-30,13
6,Dave Stewart,Lucky Numbers,2013-09-27,12
7,Dave Stewart,The Ringmaster General,2012-09-03,13
8,Dave Stewart,The Blackbird Diaries,2011-09-23,13
9,Dave Stewart,"The Dave Stewart Songbook, Vol. 1",2008-08-05,21
10,Mick Jagger,Alfie - Music From The Motion Picture,2004-01-01,15
12,Eurythmics,Peace,1999-10-19,11
16,Eurythmics,Peace (2018 Remastered),1999-10-19,11
17,Dave Stewart,Greetings From The Gutter,1995-02-17,11
18,Dave Stewart,Honest,1991-01-14,13
19,Dave Stewart,Dave Stewart And The Spiritual Cowboys,1990-01-14,14
0,Fine Young Cannibals,Fine Young Cannibals (Remastered & Expanded),2020-12-18,37
1,Fine Young Cannibals,The Finest,1996-11-26,20
2,Fine Young Cannibals,The Raw & The Cooked (Remastered & Expanded),1989-02-01,32
3,Fine Young Cannibals,The Raw & The Cooked,1988-01-01,10
4,Fine Young Cannibals,Fine Young Cannibals,1985-01-01,10
5,Fine Young Cannibals,Fine Young Cannibals Remix Ep,2020-12-18,7
6,Fine Young Cannibals,The Flame (Remixes),2009-11-01,4
7,Fine Young Cannibals,Love For Sale,1990-09-25,1
8,Various Artists,Extend The 80S: Hits,2018-04-20,30
9,Various Artists,Smash Hits The 80S,2017-06-23,43
10,Various Artists,Trance,2014-01-24,22
11,Various Artists,50 Retro Songs To Hear While You'Re Still Alive,2013-01-01,50
12,Mousse T.,Gourmet De Funk,2002-01-01,18
13,Red Hot Org,Red Hot + Blue: A Tribute To Cole Porter,1990-09-25,20
0,Milli Vanilli,All Or Nothing Us Remix Album,1989-06-26,9
1,Milli Vanilli,All Or Nothing,1988-11-14,13
2,Milli Vanilli,4 Hits: Milli Vanilli,2011-06-03,4
3,Milli Vanilli,Girl You Know It'S True - The Best Of Milli Vanilli,2013-07-26,18
4,Milli Vanilli,Greatest Hits,2007-03-01,16
6,Various Artists,Top 40 Hitdossier - Alarmschijven,2022-12-02,100
7,Various Artists,Top 40 - Foute Hits (Zomer 2021),2021-07-02,40
8,Various Artists,Top 40 - Bbq Hits (Zomerhits 2021),2021-07-02,40
9,Tweaking Freaks,Girl You Know It'S True (Remix),2021-06-03,1
10,Various Artists,Top 40 Hitdossier - 80S (Eighties Top 100),2020-03-20,100
11,Various Artists,"Das Beste Aus Formel Eins, Vol. 1",2019-12-13,24
12,Various Artists,Românticas Anos 80,2019-02-15,58
13,Various Artists,All That Disco,2018-04-04,67
14,Various Artists,I Love The 80'S,2017-12-05,38
15,Various Artists,Marek Sierocki Przedstawia: I Love Hot Hits,2017-07-07,36
16,Various Artists,Now That'S What I Call A Workout Throwback Edition,2017-05-19,18
17,Various Artists,Ronny'S Pop Show - Best Of,2017-01-13,56
18,Various Artists,Happy Times,2016-11-15,36
19,Various Artists,Nr.1 Hits Der 90S Kidz (+ Bonus),2016-06-24,60
0,R.E.M.,New Adventures In Hi-Fi (25Th Anniversary Edition),2021-10-29,27
1,R.E.M.,New Adventures In Hi-Fi (Remastered),2021-10-29,14
2,R.E.M.,R.E.M. At The Bbc (Live),2018-10-19,104
3,R.E.M.,Document - 25Th Anniversary Edition,2012-01-01,31
4,R.E.M.,Collapse Into Now,2011-01-01,12
5,R.E.M.,Live At The Olympia,2009-10-23,39
6,R.E.M.,Reckoning - Deluxe Edition,2009-01-01,26
7,R.E.M.,Accelerate,2008-01-01,11
8,R.E.M.,R.E.M. Live,2007-01-01,22
9,R.E.M.,Around The Sun,2004-01-01,13
10,R.E.M.,Reveal,2001-01-01,12
11,R.E.M.,All The Way To The End,2001,17
12,R.E.M.,Up,1998-01-01,14
13,R.E.M.,Interview Sessions,1996-09-23,12
14,R.E.M.,New Adventures In Hi-Fi,1996-01-01,14
15,R.E.M.,Monster (25Th Anniversary Edition),1994-09-27,64
16,R.E.M.,Monster (Remastered),1994-09-27,12
17,R.E.M.,Automatic For The People,1992-10-05,12
18,R.E.M.,Automatic For The People (25Th Anniversary Edition),1992-10-05,45
19,R.E.M.,Lost In Time: The Uncut Interview Sessions,1992-03-25,10
0,Guns N' Roses,Use Your Illusion (Super Deluxe),2022-11-11,77
1,Guns N' Roses,Use Your Illusion I (Deluxe Edition),2022-11-11,29
2,Guns N' Roses,Use Your Illusion Ii (Deluxe Edition),2022-11-11,27
3,Guns N' Roses,Use Your Illusion Ii,2022-11-11,14
4,Guns N' Roses,Use Your Illusion I,2022-11-11,16
5,Guns N' Roses,Chinese Democracy,2008-11-23,14
6,Guns N' Roses,The Spaghetti Incident?,1993-11-23,12
9,Guns N' Roses,G N' R Lies,1988-11-29,8
10,Guns N' Roses,Appetite For Destruction (Super Deluxe Edition),1987-07-21,51
11,Guns N' Roses,Appetite For Destruction,1987-07-21,12
12,Guns N' Roses,Hard Skool,2021-09-24,1
13,Guns N' Roses,Absuяd,2021-08-06,1
14,Guns N' Roses,Move To The City (1988 Acoustic Version),2018-06-22,1
15,Guns N' Roses,Welcome To The Jungle (1986 Sound City Session),2018-06-08,1
16,Guns N' Roses,Shadow Of Your Love,2018-05-04,1
17,Guns N' Roses,Greatest Hits,2020-08-28,15
18,Guns N' Roses,Live Era '87-'93,1999-11-23,22
0,Bon Jovi,2020 (Deluxe),2020-10-05,13
1,Bon Jovi,2020,2020-10-02,10
2,Bon Jovi,The Rarities Collection,2019,17
3,Bon Jovi,This House Is Not For Sale,2018-02-23,14
4,Bon Jovi,This House Is Not For Sale (Deluxe),2018-02-23,19
6,Bon Jovi,This House Is Not For Sale (Live From The London Palladium),2016-12-16,15
7,Bon Jovi,Burning Bridges,2015-08-21,11
9,Bon Jovi,What About Now,2013-03-08,16
11,Bon Jovi,What About Now (Deluxe Version),2013-01-01,15
13,Bon Jovi,What About Now (Media Markt Edition Deluxe),2013-01-01,17
15,Bon Jovi,What About Now (Media Markt Edition),2013-01-01,12
17,Bon Jovi,The Circle (International Abp'S),2009-11-10,13
18,Bon Jovi,The Circle,2009-01-01,12
19,Bon Jovi,The Circle [Tour Edition],2009-01-01,16
0,Sam Smith,Gloria (Special Edition),2023-04-12,22
1,Sam Smith,Gloria,2023-01-27,13
2,Ben Platt,Dear Evan Hansen (Original Motion Picture Soundtrack),2021-09-24,16
3,Sam Smith,Love Goes: Live At Abbey Road Studios,2021-03-19,12
4,Sam Smith,Love Goes,2020-10-30,17
6,Sam Smith,The Thrill Of It All,2017-11-03,10
8,Sam Smith,The Thrill Of It All (Special Edition),2017-11-03,14
10,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),2015-11-06,23
11,Sam Smith,In The Lonely Hour,2014-05-26,10
12,Sam Smith,In The Lonely Hour (Deluxe),2014-01-01,15
13,Sam Smith,In The Lonely Hour (Japanese Edition),2014-01-01,20
14,Sam Smith,Sam Smith - Live From The Roundhouse,2014-01-01,15
16,Sam Smith,Gimme (Feat. Koffee & Jessie Reyez),2023-01-11,1
17,Sam Smith,Sam Smith Stripped,2023-01-10,4
19,Sam Smith,Unholy (Feat. Kim Petras) [Sped Up],2022-12-23,2
0,Elton John,Regimental Sgt. Zippo,2022-07-08,12
1,Elton John,Madman Across The Water (Deluxe Edition),2022-06-10,34
2,Elton John,The Lockdown Sessions,2021-10-22,18
5,Elton John,The Lockdown Sessions (Christmas Edition),2021-10-22,17
12,Elton John,Jewel Box,2020-11-13,148
13,Elton John,Live From Moscow (Live From Moscow / 1979),2020-01-24,16
14,Elton John,Ik (Onverkort),2019-11-08,252
15,Elton John,Me - Elton John Official Autobiography (Unabridged),2019-10-15,234
16,Elton John,Rocketman (Music From The Motion Picture),2019-05-24,22
17,Elton John,Wonderful Crazy Night (Deluxe),2016-02-05,12
18,Elton John,The Diving Board,2013-09-16,15
19,Elton John,The Diving Board (Deluxe Version),2013-09-16,19
0,Rod Stewart,The Tears Of Hercules,2021-11-12,12
1,Rod Stewart,Rod Stewart: 1975-1978,2021-06-04,47
2,Rod Stewart,Cupid,2021-02-12,16
3,Rod Stewart,You'Re In My Heart: Rod Stewart (With The Royal Philharmonic Orchestra),2019-11-22,22
4,Rod Stewart,Blood Red Roses,2018-09-28,13
5,Rod Stewart,Blood Red Roses (Deluxe Version),2018-09-28,16
6,Rod Stewart,Handbags & Gladrags: The Essential Rod Stewart,2018-04-27,46
7,Rod Stewart,Live In London,2016-11-30,16
8,Rod Stewart,Another Country,2015-10-23,12
10,Rod Stewart,Another Country (Deluxe),2015-10-23,17
12,Rod Stewart,Live 1976 - 1998: Tonight'S The Night,2014-03-14,58
13,Rod Stewart,The Studio Albums 1975 - 2001,2014,141
14,Rod Stewart,Time,2013-01-01,12
18,Rod Stewart,Time (Deluxe),2013-01-01,28
0,a-ha,True North,2022-10-21,12
1,a-ha,Lifelines (Deluxe Edition),2019-09-27,37
2,a-ha,"Minor Earth, Major Sky (Deluxe Edition)",2019-09-27,33
3,a-ha,Mtv Unplugged - Summer Solstice,2017-10-06,21
4,a-ha,Cast In Steel,2015-09-04,18
6,a-ha,Live In Chile 06,2013-12-10,12
7,a-ha,25,2010-09-22,37
8,a-ha,Foot Of The Mountain,2009-06-12,10
10,a-ha,Analogue,2005-11-04,15
11,a-ha,How Can I Sleep With Your Voice In My Head,2003-03-25,20
12,a-ha,Lifelines,2002-04-02,15
13,a-ha,"Minor Earth, Major Sky",2000-07-17,14
14,a-ha,Memorial Beach,1993-06-14,10
15,a-ha,Memorial Beach (Deluxe Edition; 2015 Remaster),1993-06-14,28
16,a-ha,"East Of The Sun, West Of The Moon",1990-10-27,11
17,a-ha,"East Of The Sun, West Of The Moon (Deluxe Edition)",1990-10-27,29
18,a-ha,Stay On These Roads,1988-05-03,10
19,a-ha,Stay On These Roads (Deluxe Edition),1988-05-03,35
0,Tina Turner,Break Every Rule (2022 Remaster),2022-11-25,34
1,Tina Turner,Happiness (Ungekürzte Lesung),2020-11-02,101
2,Tina Turner,Children Beyond,2011,16
3,Tina Turner,Tina Live,2009-09-28,15
5,Ike Turner,Ike & Tina Turner,2005,10
6,Tina Turner,Twenty Four Seven,1999-11-01,11
7,Tina Turner,Twenty Four Seven (Expanded Version),1999-11-01,19
8,Tina Turner,Wildest Dreams,1996-04-01,13
10,Tina Turner,Wildest Dreams (Expanded Version),1996-04-01,21
11,Tina Turner,What'S Love Got To Do With It?,1993,12
12,Tina Turner,Foreign Affair,1989-09-13,12
13,Tina Turner,Foreign Affair (2021 Remaster),1989-09-13,44
14,Tina Turner,Tina Live In Europe,1988-03-16,28
15,Tina Turner,Break Every Rule,1986-01-10,11
16,Tina Turner,Mad Max Beyond Thunderdome (Original Motion Picture Soundtrack),1985-08-01,6
17,Tina Turner,Private Dancer (30Th Anniversary Issue),1984-05-29,25
18,Tina Turner,Love Explosion,1979-01-01,9
19,Tina Turner,Rough,1978-01-01,11
0,Wham!,Music From The Edge Of Heaven,1986-07-01,8
1,Wham!,Make It Big,1984-10-23,8
2,Wham!,Fantastic,1983-07-09,11
3,Wham!,Club Tropicana (Wonderland Redux - Remix),2022-08-05,1
4,Wham!,Last Christmas,1984-11-29,3
5,Wham!,Wham Rap! (Enjoy What You Do?),1982-09-29,1
6,Wham!,Japanese Singles Collection: Greatest Hits,2020-11-11,17
7,George Michael,Uma Segunda Chance Para Amar (Trilha Sonora Original),2019-11-08,14
8,George Michael,George Michael & Wham! Last Christmas: The Original Motion Picture Soundtrack,2019-11-08,14
9,Wham!,The Final,1986-11-25,14
10,Wham!,"Wham 12"" Mixes",1985-01-03,5
11,Various Artists,Now - Yearbook 1986,2023-02-24,80
12,Various Artists,Nytår 2023,2022-12-18,125
13,Various Artists,Nochevieja Música De Fiesta,2022-12-09,41
14,Various Artists,Top 40 Hitdossier - #1 Hits,2022-12-02,100
15,Various Artists,La Mejor Música Navideña,2022-12-02,51
16,Various Artists,Now - Yearbook 1980 - 1984: The Final Chapter,2022-12-02,81
17,Various Artists,Julemusik 2022,2022-11-28,83
18,Various Artists,Fin De Año Exitos,2022-11-18,33
19,Various Artists,Vacances De Noël : En Famille À La Maison,2022-11-14,65
0,Blondie,Against The Odds: 1974 - 1982,2022-08-26,52
1,Blondie,"Vivir En La Habana (Live From Havana, 2019)",2021-07-16,6
2,Blondie,Alive In Texas '79 (Live Kbfh Broadcast),2020-05-27,7
3,Blondie,Pollinator,2017-05-05,11
5,Blondie,Real Real Blondie,2015-10-12,13
6,Blondie,Blondie At The Bbc,2010-01-01,22
7,Blondie,Picture This Live,2006-01-01,15
8,Blondie,Live By Request,2005-10-03,14
9,Blondie,Live,1999-11-23,17
12,Blondie,Atomic/Atomix,1999-01-01,29
13,Blondie,Live: Philadelphia 1978/Dallas 1980,1997-01-01,15
14,Blondie,Remixed Remade Remodeled: The Blondie Remix Project,1995-07-18,11
15,Blondie,Remixed Remade Remodeled - The Blondie Remix Project,1995-07-18,11
16,Blondie,Beautiful,1995-01-01,12
17,Blondie,The Hunter,1982-06-05,12
18,Blondie,Autoamerican,1980-11-01,15
19,Blondie,Eat To The Beat,1979-10-01,16
0,Irene Cara,Irene Cara Presents Hot Caramel,2011-04-04,24
1,Irene Cara,All My Heart,1996-02-07,5
2,Irene Cara,What A Feelin',1983-11-02,15
3,Irene Cara,Anyone Can See,1982,10
4,Irene Cara,Flashdance...What A Feeling (Re-Recorded - Sped Up),2023-02-24,1
5,Irene Cara,Flashdance.... What A Feeling (Billboard Hot 100 - No 01),2018-12-20,1
6,E-Motion,"Flashdance, What A Feeling (Feat. Spyzr)",2017-05-05,2
8,E-Motion,"Flashdance, What A Feeling",2017-04-24,2
11,Irene Cara,Flashdance... What A Feeling,2015-03-10,1
12,Irene Cara,Flashdance....What A Feeling (Rerecorded),2013-10-14,1
13,Irene Cara,Flashdance…What A Feeling (Adam Van House Mix),2008-01-01,1
14,Irene Cara,What A Feeling,2007-01-01,1
16,Irene Cara,You Need Me,1996-04-11,5
17,Irene Cara,Flashdance (What A Feeling) (Remastered 2022) (Rerecording),1983-02-09,1
18,Various Artists,Timeless Love Tunes,2023-04-08,20
19,Various Artists,Celebrate International Women 2023,2023-02-16,24
