,artist_name,album_name,release_date,total_tracks
1,Los Fresones Rebeldes,Éxitos 99,1999-01-01,16
2,Los Fresones Rebeldes,Los Fresones Rebeldes En Spicnic,1997-05-04,10
3,Los Fresones Rebeldes,¡Es Que No Hay Manera!,1997-04-13,16
4,Chingadazo de Kung Fu,Gasolina En Las Bocinas (Molas Mazo),2023-03-24,1
5,Los Fresones Rebeldes,Al Amanecer (Himno Legendarias),2022-07-04,1
6,Los Fresones Rebeldes,Amor Y Tonterías,2022-06-10,4
7,Los Fresones Rebeldes,"Tú Y Yo, Un Barco Y El Mar",2022-05-27,1
8,Los Fresones Rebeldes,Amor Que No Tiene Fin,2022-04-22,1
9,Los Fresones Rebeldes,Cada San Valentín,2022-03-18,1
10,Los Fresones Rebeldes,Al Amanecer,2019-03-15,2
11,Los Fresones Rebeldes,Medio Drogados,2019-01-18,2
13,Los Fresones Rebeldes,Tributo A Pepito Sex Y Thy Surfyn' Eyes,1998-02-19,4
14,Various Artists,Stereoparty 2023 (Vol.1),2023-02-16,24
15,Various Artists,Stereoparty 2022 (Vol.2),2022-07-20,24
16,Various Artists,Me Voy Muriendo Mientras Bailas (Crónicas De El Fin Del Mundo),2020-02-14,19
17,Various Artists,Stereoparty Summer 2019,2019-07-05,19
18,Various Artists,Pin Punk Pop!,2019-06-28,20
19,Various Artists,Campamento Flipy (Banda Sonora Original),2010-10-17,14
0,Zapato Veloz,"Pounty ""Country"" La Pared",2021-05-24,10
1,Zapato Veloz,Lo Mejor De Zapato Veloz,2021-02-19,10
2,Zapato Veloz,"Ponti ""Country"" La Pared",2015-06-13,10
3,Zapato Veloz,La Vaca,2004-11-05,10
4,Zapato Veloz,Zapato Veloz,1999-01-01,12
5,Zapato Veloz,Ritmo De Corral,1995-11-03,11
8,Zapato Veloz,A Toda Máquina,1994-11-03,11
10,Zapato Veloz,"""Pa Tokiski""",1993-11-03,10
11,Zapato Veloz,Pa Tokiski,1993-04-02,10
13,Zapato Veloz,Ponti “Country” La Pared,1992-02-11,10
14,Victor Cimavilla,Gijón,2023-02-01,1
15,Various Artists,¡¡ Feliz Atasco !!,1994-09-15,18
16,Various Artists,Lo+Fresco,1994-09-08,12
17,Various Artists,Mama Eres Tu...,1993-12-22,11
0,Manolo Garcia,Mi Vida En Marte,2022-04-29,14
1,Manolo Garcia,Desatinos Desplumados,2022-04-28,13
