,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,Sunchild,Chris Wenner,2020-07-17,False,spotify:track:5M2SGP1dZfJEerNNI6F8sk,47,williamdzn,https://open.spotify.com/track/5M2SGP1dZfJEerNNI6F8sk,4UXbjwANUG8Fio4ZfLWSsl,0.665,0.624,11,-8.334,1,0.0326,0.404,0.00792,0.22,0.572,129.898,audio_features,5M2SGP1dZfJEerNNI6F8sk,spotify:track:5M2SGP1dZfJEerNNI6F8sk,https://api.spotify.com/v1/tracks/5M2SGP1dZfJEerNNI6F8sk,https://api.spotify.com/v1/audio-analysis/5M2SGP1dZfJEerNNI6F8sk,275680,4
11,You're the Voice,John Farnham,1986,False,spotify:track:721DwsHOeKf7zHRABCR2rh,65,williamdzn,https://open.spotify.com/track/721DwsHOeKf7zHRABCR2rh,1QxaPWG1POM8Ul6WwsHq4y,0.502,0.66,10,-11.852,1,0.0394,0.393,0.000138,0.608,0.722,85.209,audio_features,721DwsHOeKf7zHRABCR2rh,spotify:track:721DwsHOeKf7zHRABCR2rh,https://api.spotify.com/v1/tracks/721DwsHOeKf7zHRABCR2rh,https://api.spotify.com/v1/audio-analysis/721DwsHOeKf7zHRABCR2rh,300733,4
12,Silent Running (On Dangerous Ground) - 2014 Remastered,Mike + The Mechanics,2014-01-20,False,spotify:track:0Y9p9hajsT2288gUaHmZ9y,48,williamdzn,https://open.spotify.com/track/0Y9p9hajsT2288gUaHmZ9y,2yTUYhIf8fxptTIy3KLuJD,0.515,0.699,2,-5.383,0,0.0311,0.414,9.16e-05,0.292,0.366,130.958,audio_features,0Y9p9hajsT2288gUaHmZ9y,spotify:track:0Y9p9hajsT2288gUaHmZ9y,https://api.spotify.com/v1/tracks/0Y9p9hajsT2288gUaHmZ9y,https://api.spotify.com/v1/audio-analysis/0Y9p9hajsT2288gUaHmZ9y,346613,4
13,Toy Soldiers,Martika,1988-10-18,False,spotify:track:6YHpaawV0C88rwt2bQE6jV,0,williamdzn,https://open.spotify.com/track/6YHpaawV0C88rwt2bQE6jV,40enFxfEXXsEXKOt1vgx0k,0.522,0.441,1,-11.703,0,0.028,0.416,0.0,0.22,0.199,130.133,audio_features,6YHpaawV0C88rwt2bQE6jV,spotify:track:6YHpaawV0C88rwt2bQE6jV,https://api.spotify.com/v1/tracks/6YHpaawV0C88rwt2bQE6jV,https://api.spotify.com/v1/audio-analysis/6YHpaawV0C88rwt2bQE6jV,287533,4
14,Wind Of Change,Scorpions,1990-01-01,False,spotify:track:6wjSNO6uJYlgbbfauyWhiw,0,williamdzn,https://open.spotify.com/track/6wjSNO6uJYlgbbfauyWhiw,27T030eWyCQRmDyuvr1kxY,0.453,0.543,0,-10.106,1,0.0366,0.297,0.0,0.0928,0.282,151.362,audio_features,6wjSNO6uJYlgbbfauyWhiw,spotify:track:6wjSNO6uJYlgbbfauyWhiw,https://api.spotify.com/v1/tracks/6wjSNO6uJYlgbbfauyWhiw,https://api.spotify.com/v1/audio-analysis/6wjSNO6uJYlgbbfauyWhiw,313227,4
15,Don't Dream It's Over,Crowded House,1986-01-01,False,spotify:track:7G7tgVYORlDuVprcYHuFJh,76,williamdzn,https://open.spotify.com/track/7G7tgVYORlDuVprcYHuFJh,7ohlPA8dRBtCf92zaZCaaB,0.439,0.422,8,-17.227,1,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,audio_features,7G7tgVYORlDuVprcYHuFJh,spotify:track:7G7tgVYORlDuVprcYHuFJh,https://api.spotify.com/v1/tracks/7G7tgVYORlDuVprcYHuFJh,https://api.spotify.com/v1/audio-analysis/7G7tgVYORlDuVprcYHuFJh,236933,4
16,Wicked Game,Chris Isaak,1989-06-13,False,spotify:track:34u3Bj1KVxKWfA07yDJ2vG,0,williamdzn,https://open.spotify.com/track/34u3Bj1KVxKWfA07yDJ2vG,7290H8m1Dwt8G7jm1y9CQx,0.661,0.3,9,-18.055,1,0.0294,0.688,0.0118,0.0839,0.359,112.327,audio_features,34u3Bj1KVxKWfA07yDJ2vG,spotify:track:34u3Bj1KVxKWfA07yDJ2vG,https://api.spotify.com/v1/tracks/34u3Bj1KVxKWfA07yDJ2vG,https://api.spotify.com/v1/audio-analysis/34u3Bj1KVxKWfA07yDJ2vG,289067,4
17,You,Ten Sharp,1991-04-13,False,spotify:track:01AfqEDao4dHz4bjpTVgsz,0,williamdzn,https://open.spotify.com/track/01AfqEDao4dHz4bjpTVgsz,0ap24Mjt6qlze8v667KlaF,0.405,0.901,11,-7.905,0,0.0315,0.426,0.0185,0.188,0.666,174.041,audio_features,01AfqEDao4dHz4bjpTVgsz,spotify:track:01AfqEDao4dHz4bjpTVgsz,https://api.spotify.com/v1/tracks/01AfqEDao4dHz4bjpTVgsz,https://api.spotify.com/v1/audio-analysis/01AfqEDao4dHz4bjpTVgsz,272984,4
18,The One,Cool Monroe,2021-09-24,False,spotify:track:6Gm8JkAuk16Z1xhxh7K4iV,44,williamdzn,https://open.spotify.com/track/6Gm8JkAuk16Z1xhxh7K4iV,48U6K81Ss0cwMkI1M45JNJ,0.527,0.532,7,-6.95,0,0.0249,0.068,3.26e-06,0.337,0.341,152.027,audio_features,6Gm8JkAuk16Z1xhxh7K4iV,spotify:track:6Gm8JkAuk16Z1xhxh7K4iV,https://api.spotify.com/v1/tracks/6Gm8JkAuk16Z1xhxh7K4iV,https://api.spotify.com/v1/audio-analysis/6Gm8JkAuk16Z1xhxh7K4iV,202758,4
18,The One,Cool Monroe,2021-09-24,False,spotify:track:6Gm8JkAuk16Z1xhxh7K4iV,44,williamdzn,https://open.spotify.com/track/6Gm8JkAuk16Z1xhxh7K4iV,1zNHjzbXslomfDoILLW6Fj,0.527,0.532,7,-6.95,0,0.0249,0.068,3.26e-06,0.337,0.341,152.027,audio_features,6Gm8JkAuk16Z1xhxh7K4iV,spotify:track:6Gm8JkAuk16Z1xhxh7K4iV,https://api.spotify.com/v1/tracks/6Gm8JkAuk16Z1xhxh7K4iV,https://api.spotify.com/v1/audio-analysis/6Gm8JkAuk16Z1xhxh7K4iV,202758,4
