,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Dust in the Wind,Kansas,1977,False,spotify:track:6zeE5tKyr8Nu882DQhhSQI,79,mejoresplaylistsspotify,https://open.spotify.com/track/6zeE5tKyr8Nu882DQhhSQI,2hl0xAkS2AIRAu23TVMBG1,0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,audio_features,6zeE5tKyr8Nu882DQhhSQI,spotify:track:6zeE5tKyr8Nu882DQhhSQI,https://api.spotify.com/v1/tracks/6zeE5tKyr8Nu882DQhhSQI,https://api.spotify.com/v1/audio-analysis/6zeE5tKyr8Nu882DQhhSQI,206267,4
1,I Wonder,Rodríguez,2012,False,spotify:track:2YlYHoXimSTWxXKgN3eX2t,0,mejoresplaylistsspotify,https://open.spotify.com/track/2YlYHoXimSTWxXKgN3eX2t,5PrHzxc3kFm4hIrGNmelpX,0.506,0.704,9,-6.634,1,0.0799,0.0989,0.000214,0.12,0.709,113.276,audio_features,2YlYHoXimSTWxXKgN3eX2t,spotify:track:2YlYHoXimSTWxXKgN3eX2t,https://api.spotify.com/v1/tracks/2YlYHoXimSTWxXKgN3eX2t,https://api.spotify.com/v1/audio-analysis/2YlYHoXimSTWxXKgN3eX2t,154053,4
2,Hotel California - 2013 Remaster,Eagles,1976-12-08,False,spotify:track:40riOy7x9W7GXjyGp4pjAv,85,mejoresplaylistsspotify,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,0ECwFtbIWEVNwjlrfc6xoL,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4
3,Don't Stop 'Til You Get Enough,Michael Jackson,1979-08-10,False,spotify:track:46eu3SBuFCXWsPT39Yg3tJ,76,mejoresplaylistsspotify,https://open.spotify.com/track/46eu3SBuFCXWsPT39Yg3tJ,3fMbdgg4jU18AjLCKBhRSm,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,audio_features,46eu3SBuFCXWsPT39Yg3tJ,spotify:track:46eu3SBuFCXWsPT39Yg3tJ,https://api.spotify.com/v1/tracks/46eu3SBuFCXWsPT39Yg3tJ,https://api.spotify.com/v1/audio-analysis/46eu3SBuFCXWsPT39Yg3tJ,365467,4
4,Born to Run,Bruce Springsteen,1975-08-25,False,spotify:track:6hTcuIQa0sxrrByu9wTD7s,74,mejoresplaylistsspotify,https://open.spotify.com/track/6hTcuIQa0sxrrByu9wTD7s,3eqjTLE0HfPfh78zjh6TqT,0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,audio_features,6hTcuIQa0sxrrByu9wTD7s,spotify:track:6hTcuIQa0sxrrByu9wTD7s,https://api.spotify.com/v1/tracks/6hTcuIQa0sxrrByu9wTD7s,https://api.spotify.com/v1/audio-analysis/6hTcuIQa0sxrrByu9wTD7s,269920,4
5,Bridge Over Troubled Water,Simon & Garfunkel,1970-01-26,False,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,72,mejoresplaylistsspotify,https://open.spotify.com/track/6l8EbYRtQMgKOyc1gcDHF9,70cRZdQywnSFp9pnc2WTCE,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,audio_features,6l8EbYRtQMgKOyc1gcDHF9,spotify:track:6l8EbYRtQMgKOyc1gcDHF9,https://api.spotify.com/v1/tracks/6l8EbYRtQMgKOyc1gcDHF9,https://api.spotify.com/v1/audio-analysis/6l8EbYRtQMgKOyc1gcDHF9,293120,4
6,Because the Night,Patti Smith,1978,False,spotify:track:0lIoY4ZQsdn5QzhraM9o9u,70,mejoresplaylistsspotify,https://open.spotify.com/track/0lIoY4ZQsdn5QzhraM9o9u,0vYkHhJ48Bs3jWcvZXvOrP,0.466,0.763,11,-7.748,0,0.0391,0.0542,0.0,0.119,0.473,123.539,audio_features,0lIoY4ZQsdn5QzhraM9o9u,spotify:track:0lIoY4ZQsdn5QzhraM9o9u,https://api.spotify.com/v1/tracks/0lIoY4ZQsdn5QzhraM9o9u,https://api.spotify.com/v1/audio-analysis/0lIoY4ZQsdn5QzhraM9o9u,204800,4
7,Burning Love - Version 2,Elvis Presley,2022-08-11,False,spotify:track:4sNrqtX2bFfbx4FhQLREDv,1,mejoresplaylistsspotify,https://open.spotify.com/track/4sNrqtX2bFfbx4FhQLREDv,43ZHCT0cAZBISjO8DG9PnE,0.599,0.904,2,-10.929,1,0.0299,0.524,0.211,0.396,0.97,143.959,audio_features,4sNrqtX2bFfbx4FhQLREDv,spotify:track:4sNrqtX2bFfbx4FhQLREDv,https://api.spotify.com/v1/tracks/4sNrqtX2bFfbx4FhQLREDv,https://api.spotify.com/v1/audio-analysis/4sNrqtX2bFfbx4FhQLREDv,215747,4
8,Surrender,Cheap Trick,1978-04,False,spotify:track:2ccUQnjjNWT0rsNnsBpsCA,70,mejoresplaylistsspotify,https://open.spotify.com/track/2ccUQnjjNWT0rsNnsBpsCA,1LB8qB5BPb3MHQrfkvifXU,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77e-06,0.659,0.869,133.849,audio_features,2ccUQnjjNWT0rsNnsBpsCA,spotify:track:2ccUQnjjNWT0rsNnsBpsCA,https://api.spotify.com/v1/tracks/2ccUQnjjNWT0rsNnsBpsCA,https://api.spotify.com/v1/audio-analysis/2ccUQnjjNWT0rsNnsBpsCA,253733,4
9,Always On My Mind,Willie Nelson,1975-01-01,False,spotify:track:3hRhAv7zWfAtGQkrlUYkXT,35,mejoresplaylistsspotify,https://open.spotify.com/track/3hRhAv7zWfAtGQkrlUYkXT,5W5bDNCqJ1jbCgTxDD0Cb3,0.422,0.339,2,-10.074,1,0.0266,0.799,0.00125,0.155,0.198,146.173,audio_features,3hRhAv7zWfAtGQkrlUYkXT,spotify:track:3hRhAv7zWfAtGQkrlUYkXT,https://api.spotify.com/v1/tracks/3hRhAv7zWfAtGQkrlUYkXT,https://api.spotify.com/v1/audio-analysis/3hRhAv7zWfAtGQkrlUYkXT,213107,4
10,Imagine - Remastered 2010,John Lennon,1971-09-09,False,spotify:track:7pKfPomDEeI4TPT6EOYjn9,79,mejoresplaylistsspotify,https://open.spotify.com/track/7pKfPomDEeI4TPT6EOYjn9,4x1nvY2FN8jxqAFA0DA02H,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,audio_features,7pKfPomDEeI4TPT6EOYjn9,spotify:track:7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/tracks/7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/audio-analysis/7pKfPomDEeI4TPT6EOYjn9,187867,4
11,Heroes - 1999 Remaster,David Bowie,1977-10-14,False,spotify:track:5j6ZZwA9BnxZi5Bk0Ng4jB,0,mejoresplaylistsspotify,https://open.spotify.com/track/5j6ZZwA9BnxZi5Bk0Ng4jB,0oSGxfWSnnOXhD2fKuz2Gy,0.478,0.774,7,-6.977,1,0.0292,0.000265,0.585,0.191,0.429,112.577,audio_features,5j6ZZwA9BnxZi5Bk0Ng4jB,spotify:track:5j6ZZwA9BnxZi5Bk0Ng4jB,https://api.spotify.com/v1/tracks/5j6ZZwA9BnxZi5Bk0Ng4jB,https://api.spotify.com/v1/audio-analysis/5j6ZZwA9BnxZi5Bk0Ng4jB,370373,4
12,I Feel the Earth Move,Carole King,1971,False,spotify:track:7onOpypcFWFc2YjMIcJnx9,0,mejoresplaylistsspotify,https://open.spotify.com/track/7onOpypcFWFc2YjMIcJnx9,319yZVtYM9MBGqmSQnMyY6,0.711,0.576,7,-8.784,0,0.0305,0.648,0.00226,0.0528,0.645,120.116,audio_features,7onOpypcFWFc2YjMIcJnx9,spotify:track:7onOpypcFWFc2YjMIcJnx9,https://api.spotify.com/v1/tracks/7onOpypcFWFc2YjMIcJnx9,https://api.spotify.com/v1/audio-analysis/7onOpypcFWFc2YjMIcJnx9,178560,4
13,Highway to Hell,AC/DC,1979-07-27,False,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,86,mejoresplaylistsspotify,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,711MCceyCBcFnzjGY4Q7Un,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,audio_features,2zYzyRzz6pRmhPzyfMEC8s,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/audio-analysis/2zYzyRzz6pRmhPzyfMEC8s,208400,4
14,Can't Help Falling In Love,Andy Williams,2013-05-10,False,spotify:track:0qYIt9sV6H9DaORhyfQb1n,21,mejoresplaylistsspotify,https://open.spotify.com/track/0qYIt9sV6H9DaORhyfQb1n,4sj6D0zlMOl25nprDJBiU9,0.39,0.635,9,-9.288,1,0.0338,0.0657,5.97e-05,0.284,0.434,128.91,audio_features,0qYIt9sV6H9DaORhyfQb1n,spotify:track:0qYIt9sV6H9DaORhyfQb1n,https://api.spotify.com/v1/tracks/0qYIt9sV6H9DaORhyfQb1n,https://api.spotify.com/v1/audio-analysis/0qYIt9sV6H9DaORhyfQb1n,191867,4
15,Hold the Line,TOTO,1978-10-10,False,spotify:track:4aVuWgvD0X63hcOCnZtNFA,81,mejoresplaylistsspotify,https://open.spotify.com/track/4aVuWgvD0X63hcOCnZtNFA,0PFtn5NtBbbUNbU9EAmIWF,0.473,0.898,6,-4.797,0,0.0561,0.00783,0.0618,0.173,0.808,96.556,audio_features,4aVuWgvD0X63hcOCnZtNFA,spotify:track:4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/tracks/4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/audio-analysis/4aVuWgvD0X63hcOCnZtNFA,235547,4
16,Got To Give It Up,Marvin Gaye,2001-07-17,False,spotify:track:2VtnDXZeLMPWyVqD7FKtAQ,0,mejoresplaylistsspotify,https://open.spotify.com/track/2VtnDXZeLMPWyVqD7FKtAQ,3koiLjNrgRTNbOwViDipeA,0.828,0.859,2,-7.194,1,0.0338,0.1,0.00496,0.327,0.791,123.322,audio_features,2VtnDXZeLMPWyVqD7FKtAQ,spotify:track:2VtnDXZeLMPWyVqD7FKtAQ,https://api.spotify.com/v1/tracks/2VtnDXZeLMPWyVqD7FKtAQ,https://api.spotify.com/v1/audio-analysis/2VtnDXZeLMPWyVqD7FKtAQ,712387,4
