song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hard to Say I'm Sorry / Get Away - 2006 Remaster,Chicago,1982-06-07,False,spotify:track:07TnWCHrFkvF61GzJuLVt0,72,12177422298,https://open.spotify.com/track/07TnWCHrFkvF61GzJuLVt0,3iDD7bnsjL9J4fO298r0L0,0.398,0.57,4,-7.068,1,0.034,0.056,0.00125,0.0606,0.234,140.974,audio_features,07TnWCHrFkvF61GzJuLVt0,spotify:track:07TnWCHrFkvF61GzJuLVt0,https://api.spotify.com/v1/tracks/07TnWCHrFkvF61GzJuLVt0,https://api.spotify.com/v1/audio-analysis/07TnWCHrFkvF61GzJuLVt0,304213,4
Born to Be Alive - The Original,Patrick Hernandez,1978,False,spotify:track:3XIEWK1V9n25PS9Vb6axj5,73,12177422298,https://open.spotify.com/track/3XIEWK1V9n25PS9Vb6axj5,1CcEgi464SWZsKY5579u7z,0.704,0.868,2,-5.808,1,0.0315,0.0834,0.0,0.206,0.808,131.468,audio_features,3XIEWK1V9n25PS9Vb6axj5,spotify:track:3XIEWK1V9n25PS9Vb6axj5,https://api.spotify.com/v1/tracks/3XIEWK1V9n25PS9Vb6axj5,https://api.spotify.com/v1/audio-analysis/3XIEWK1V9n25PS9Vb6axj5,188133,4
Cum on Feel the Noize,Quiet Riot,1983,False,spotify:track:3vV3cr2TpPqFk07zxYUbla,72,12177422298,https://open.spotify.com/track/3vV3cr2TpPqFk07zxYUbla,1dLWg6m8RRhizsdqJbhyj3,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,audio_features,3vV3cr2TpPqFk07zxYUbla,spotify:track:3vV3cr2TpPqFk07zxYUbla,https://api.spotify.com/v1/tracks/3vV3cr2TpPqFk07zxYUbla,https://api.spotify.com/v1/audio-analysis/3vV3cr2TpPqFk07zxYUbla,290960,4
If You Leave Me Now,Chicago,1976-06-14,False,spotify:track:0KMGxYKeUzK9wc5DZCt3HT,78,12177422298,https://open.spotify.com/track/0KMGxYKeUzK9wc5DZCt3HT,3iDD7bnsjL9J4fO298r0L0,0.434,0.563,11,-6.784,1,0.0268,0.0197,0.000824,0.128,0.275,104.183,audio_features,0KMGxYKeUzK9wc5DZCt3HT,spotify:track:0KMGxYKeUzK9wc5DZCt3HT,https://api.spotify.com/v1/tracks/0KMGxYKeUzK9wc5DZCt3HT,https://api.spotify.com/v1/audio-analysis/0KMGxYKeUzK9wc5DZCt3HT,235373,4
More Than A Woman,Bee Gees,1979-01-01,False,spotify:track:49OMJ1prsRA7ZYgrAjz70c,63,12177422298,https://open.spotify.com/track/49OMJ1prsRA7ZYgrAjz70c,1LZEQNv7sE11VDY3SdxQeN,0.632,0.683,7,-6.434,1,0.0383,0.163,0.00013,0.847,0.701,105.955,audio_features,49OMJ1prsRA7ZYgrAjz70c,spotify:track:49OMJ1prsRA7ZYgrAjz70c,https://api.spotify.com/v1/tracks/49OMJ1prsRA7ZYgrAjz70c,https://api.spotify.com/v1/audio-analysis/49OMJ1prsRA7ZYgrAjz70c,197213,4
Hands Up,Ottawan,2011-07-25,False,spotify:track:1Zyf8B3ChljGWYFJG6vfNW,0,12177422298,https://open.spotify.com/track/1Zyf8B3ChljGWYFJG6vfNW,4FPjAd9hBB9iaiq8qCkNf7,0.888,0.876,8,-4.249,1,0.0425,0.607,3.23e-05,0.375,0.992,123.29,audio_features,1Zyf8B3ChljGWYFJG6vfNW,spotify:track:1Zyf8B3ChljGWYFJG6vfNW,https://api.spotify.com/v1/tracks/1Zyf8B3ChljGWYFJG6vfNW,https://api.spotify.com/v1/audio-analysis/1Zyf8B3ChljGWYFJG6vfNW,208573,4
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,1990-05-20,False,spotify:track:6kvoHl80mfCVTv7XnZkjQn,78,12177422298,https://open.spotify.com/track/6kvoHl80mfCVTv7XnZkjQn,2SHhfs4BiDxGQ3oxqf0UHY,0.52,0.652,5,-6.655,1,0.0274,0.34,5.49e-05,0.256,0.722,80.609,audio_features,6kvoHl80mfCVTv7XnZkjQn,spotify:track:6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/tracks/6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/audio-analysis/6kvoHl80mfCVTv7XnZkjQn,258787,4
Have You Ever Seen The Rain,Creedence Clearwater Revival,1970-12-07,False,spotify:track:2LawezPeJhN4AWuSB0GtAU,86,12177422298,https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU,3IYUhFvPQItj6xySrBmZkd,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,audio_features,2LawezPeJhN4AWuSB0GtAU,spotify:track:2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/audio-analysis/2LawezPeJhN4AWuSB0GtAU,160133,4
Have You Ever Seen The Rain,Creedence Clearwater Revival,1970-12-07,False,spotify:track:2LawezPeJhN4AWuSB0GtAU,86,12177422298,https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU,3IYUhFvPQItj6xySrBmZkd,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,audio_features,2LawezPeJhN4AWuSB0GtAU,spotify:track:2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/audio-analysis/2LawezPeJhN4AWuSB0GtAU,160133,4
Hotel California - 2013 Remaster,Eagles,1976-12-08,False,spotify:track:40riOy7x9W7GXjyGp4pjAv,85,12177422298,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,0ECwFtbIWEVNwjlrfc6xoL,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4
