,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
26,La casa por el tejado,Fito y Fitipaldis,2003-09-01,False,spotify:track:428cFrawSqeLoyooQjAW9d,65,,https://open.spotify.com/track/428cFrawSqeLoyooQjAW9d,1tZ99AnqyjgrmPwLfGU5eo,0.734,0.852,7,-5.632,0,0.0483,0.323,2.27e-05,0.421,0.89,149.976,audio_features,428cFrawSqeLoyooQjAW9d,spotify:track:428cFrawSqeLoyooQjAW9d,https://api.spotify.com/v1/tracks/428cFrawSqeLoyooQjAW9d,https://api.spotify.com/v1/audio-analysis/428cFrawSqeLoyooQjAW9d,267760,4
27,Zapatillas,El Canto Del Loco,2005,False,spotify:track:42VgiRyg0YjtRVLiPFNxPJ,65,,https://open.spotify.com/track/42VgiRyg0YjtRVLiPFNxPJ,5RK6c1tyaKpwcDpbgCGNgj,0.428,0.956,8,-2.382,0,0.178,0.0281,0.0,0.58,0.686,198.076,audio_features,42VgiRyg0YjtRVLiPFNxPJ,spotify:track:42VgiRyg0YjtRVLiPFNxPJ,https://api.spotify.com/v1/tracks/42VgiRyg0YjtRVLiPFNxPJ,https://api.spotify.com/v1/audio-analysis/42VgiRyg0YjtRVLiPFNxPJ,172640,4
28,Por la Raja de Tu Falda,Estopa,1999-10-18,False,spotify:track:5OaqffbeQyVVqtnA71Ci7K,65,,https://open.spotify.com/track/5OaqffbeQyVVqtnA71Ci7K,5ZqnEfVdEGmoPxtELhN7ai,0.759,0.722,9,-9.906,0,0.0765,0.323,0.0,0.719,0.928,97.518,audio_features,5OaqffbeQyVVqtnA71Ci7K,spotify:track:5OaqffbeQyVVqtnA71Ci7K,https://api.spotify.com/v1/tracks/5OaqffbeQyVVqtnA71Ci7K,https://api.spotify.com/v1/audio-analysis/5OaqffbeQyVVqtnA71Ci7K,202827,4
29,En Que Estrella Estara,Nena Daconte,2006-01-01,False,spotify:track:1msphInQ8bBBQGFZkll7FX,63,,https://open.spotify.com/track/1msphInQ8bBBQGFZkll7FX,58ZTr51uERVdMQbfDbc5B3,0.73,0.378,5,-7.441,1,0.183,0.279,1.67e-05,0.0869,0.697,170.044,audio_features,1msphInQ8bBBQGFZkll7FX,spotify:track:1msphInQ8bBBQGFZkll7FX,https://api.spotify.com/v1/tracks/1msphInQ8bBBQGFZkll7FX,https://api.spotify.com/v1/audio-analysis/1msphInQ8bBBQGFZkll7FX,140667,4
30,Un violinista en tu tejado,Melendi,2009-03-24,False,spotify:track:6IBPbunlI7QcV7wzE0NSVx,63,,https://open.spotify.com/track/6IBPbunlI7QcV7wzE0NSVx,1EXjXQpDx2pROygh8zvHs4,0.512,0.843,1,-6.283,0,0.183,0.405,0.0,0.241,0.58,156.388,audio_features,6IBPbunlI7QcV7wzE0NSVx,spotify:track:6IBPbunlI7QcV7wzE0NSVx,https://api.spotify.com/v1/tracks/6IBPbunlI7QcV7wzE0NSVx,https://api.spotify.com/v1/audio-analysis/6IBPbunlI7QcV7wzE0NSVx,222720,3
31,Antes de que cuente diez,Fito y Fitipaldis,2009-09-11,False,spotify:track:3xiNRrrVROKlHrflHGNTfG,65,,https://open.spotify.com/track/3xiNRrrVROKlHrflHGNTfG,1tZ99AnqyjgrmPwLfGU5eo,0.521,0.852,6,-5.014,0,0.0624,0.0835,0.0,0.365,0.523,151.012,audio_features,3xiNRrrVROKlHrflHGNTfG,spotify:track:3xiNRrrVROKlHrflHGNTfG,https://api.spotify.com/v1/tracks/3xiNRrrVROKlHrflHGNTfG,https://api.spotify.com/v1/audio-analysis/3xiNRrrVROKlHrflHGNTfG,285040,4
32,Paris,La Oreja de Van Gogh,2000-09-07,False,spotify:track:5ByvJeBlrYISiwy7AVEAmP,66,,https://open.spotify.com/track/5ByvJeBlrYISiwy7AVEAmP,4U7lXyKdSf1JbM1aXvsodC,0.528,0.692,2,-6.107,0,0.0309,0.0673,0.0,0.13,0.402,137.026,audio_features,5ByvJeBlrYISiwy7AVEAmP,spotify:track:5ByvJeBlrYISiwy7AVEAmP,https://api.spotify.com/v1/tracks/5ByvJeBlrYISiwy7AVEAmP,https://api.spotify.com/v1/audio-analysis/5ByvJeBlrYISiwy7AVEAmP,226800,4
33,El aire de la calle,Los Delinquentes,2001,False,spotify:track:2PaETSKl3w3IdtLIbDnQXJ,63,,https://open.spotify.com/track/2PaETSKl3w3IdtLIbDnQXJ,38LYyZ9hZEEQeEfeYoydqd,0.755,0.614,3,-9.841,0,0.0458,0.526,0.0,0.113,0.887,99.99,audio_features,2PaETSKl3w3IdtLIbDnQXJ,spotify:track:2PaETSKl3w3IdtLIbDnQXJ,https://api.spotify.com/v1/tracks/2PaETSKl3w3IdtLIbDnQXJ,https://api.spotify.com/v1/audio-analysis/2PaETSKl3w3IdtLIbDnQXJ,186733,4
34,Lady Madrid,Pereza,2009-08-25,False,spotify:track:5NQw5WJwKRPaaSDHXD04Fs,62,,https://open.spotify.com/track/5NQw5WJwKRPaaSDHXD04Fs,6mfK6Q2tzLMEchAr0e9Uzu,0.598,0.655,0,-2.761,1,0.0256,0.359,0.0,0.0922,0.377,115.041,audio_features,5NQw5WJwKRPaaSDHXD04Fs,spotify:track:5NQw5WJwKRPaaSDHXD04Fs,https://api.spotify.com/v1/tracks/5NQw5WJwKRPaaSDHXD04Fs,https://api.spotify.com/v1/audio-analysis/5NQw5WJwKRPaaSDHXD04Fs,191587,4
35,Pa' Madrid,El Barrio,2007-10-15,False,spotify:track:3G0C3Z9H9CLejvrkWbGBb7,62,,https://open.spotify.com/track/3G0C3Z9H9CLejvrkWbGBb7,0fM3rWsshliRFUmJlBP6QZ,0.632,0.944,1,-3.065,1,0.0476,0.239,0.0,0.125,0.934,166.925,audio_features,3G0C3Z9H9CLejvrkWbGBb7,spotify:track:3G0C3Z9H9CLejvrkWbGBb7,https://api.spotify.com/v1/tracks/3G0C3Z9H9CLejvrkWbGBb7,https://api.spotify.com/v1/audio-analysis/3G0C3Z9H9CLejvrkWbGBb7,260185,4
